date,metric_name,mean,min,max,std,count,temp_range
2025-03-15,visibility,15091.666666666666,4000.0,16100.0,,24,12100.0
2025-03-15,wind_gust,37.4,28.0,54.0,,10,26.0
2025-03-15,wind_speed,19.25,8.0,37.0,,24,29.0
2025-03-16,dew_point,7.829166666666666,-2.3,12.7,,24,15.0
2025-03-16,pressure_sea,99.92083333333335,99.33,100.88,,24,1.5499999999999972
2025-03-16,pressure_station,96.14583333333333,95.6,97.04,,24,1.440000000000012
2025-03-16,relative_humidity,84.33333333333333,72.0,95.0,,24,23.0
2025-03-16,temperature,10.399999999999999,0.4,17.7,,24,17.3
2025-03-16,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-16,wind_gust,42.2,28.0,65.0,,20,37.0
2025-03-16,wind_speed,26.875,13.0,39.0,,24,26.0
2025-03-17,dew_point,-6.412499999999999,-9.0,-3.3,,24,5.7
2025-03-17,pressure_sea,101.85000000000001,101.05,102.18,,24,1.1300000000000097
2025-03-17,pressure_station,97.92458333333332,97.21,98.23,,24,1.0200000000000102
2025-03-17,relative_humidity,64.54166666666667,42.0,80.0,,24,38.0
2025-03-17,temperature,-0.21666666666666676,-3.6,4.6,,24,8.2
2025-03-17,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-17,wind_gust,35.55555555555556,30.0,45.0,,9,15.0
2025-03-17,wind_speed,16.583333333333332,0.0,32.0,,24,32.0
2025-03-17,windchill,-7.714285714285714,-10.0,-2.0,,14,8.0
2025-03-18,dew_point,-1.1625,-5.3,2.1,,24,7.4
2025-03-18,pressure_sea,101.53791666666666,101.18,102.1,,24,0.9199999999999875
2025-03-18,pressure_station,97.63833333333334,97.32,98.15,,24,0.8300000000000125
2025-03-18,relative_humidity,64.20833333333333,44.0,86.0,,24,42.0
2025-03-18,temperature,5.55,-2.7,14.0,,24,16.7
2025-03-18,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-18,wind_gust,30.8,28.0,35.0,,5,7.0
2025-03-18,wind_speed,14.833333333333334,8.0,28.0,,24,20.0
2025-03-18,windchill,-5.333333333333333,-6.0,-5.0,,9,1.0
2025-03-19,dew_point,1.4166666666666667,-0.6,3.8,,24,4.3999999999999995
2025-03-19,pressure_sea,100.62041666666666,99.95,101.15,,24,1.2000000000000028
2025-03-19,pressure_station,96.8125,96.2,97.3,,24,1.0999999999999943
2025-03-19,relative_humidity,48.916666666666664,29.0,77.0,,24,48.0
2025-03-19,temperature,12.720833333333331,3.1,20.3,,24,17.2
2025-03-19,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-19,wind_gust,41.25,35.0,48.0,,8,13.0
2025-03-19,wind_speed,15.875,0.0,35.0,,24,35.0
2025-03-20,dew_point,2.9416666666666664,-5.6,8.5,,24,14.1
2025-03-20,pressure_sea,99.96916666666668,99.62,100.95,,24,1.3299999999999983
2025-03-20,pressure_station,96.18458333333332,95.86,97.08,,24,1.2199999999999989
2025-03-20,relative_humidity,75.29166666666667,53.0,92.0,,24,39.0
2025-03-20,temperature,7.254166666666666,-0.9,14.7,,24,15.6
2025-03-20,visibility,15629.166666666666,6400.0,16100.0,,24,9700.0
2025-03-20,wind_gust,41.0,32.0,52.0,,18,20.0
2025-03-20,wind_speed,25.541666666666668,9.0,37.0,,24,28.0
2025-03-20,windchill,-7.25,-8.0,-7.0,,4,1.0
2025-03-21,dew_point,-5.45,-7.4,-2.9,,24,4.5
2025-03-21,pressure_sea,101.12166666666667,100.61,101.5,,24,0.8900000000000006
2025-03-21,pressure_station,97.22166666666665,96.74,97.56,,24,0.8200000000000074
2025-03-21,relative_humidity,61.0,44.0,77.0,,24,33.0
2025-03-21,temperature,1.5041666666666667,-4.0,6.7,,24,10.7
2025-03-21,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-21,wind_gust,38.86666666666667,28.0,52.0,,15,24.0
2025-03-21,wind_speed,20.625,8.0,32.0,,24,24.0
2025-03-21,windchill,-6.7272727272727275,-8.0,-4.0,,11,4.0
2025-03-22,dew_point,-5.675000000000001,-11.7,1.9,,24,13.6
2025-03-22,pressure_sea,100.8175,99.99,101.99,,24,2.0
2025-03-22,pressure_station,96.93916666666667,96.16,98.02,,24,1.8599999999999994
2025-03-22,relative_humidity,64.29166666666667,49.0,89.0,,24,40.0
2025-03-22,temperature,0.45416666666666644,-6.7,6.3,,24,13.0
2025-03-22,visibility,16033.333333333334,14500.0,16100.0,,24,1600.0
2025-03-22,wind_gust,45.63157894736842,30.0,59.0,,19,29.0
2025-03-22,wind_speed,27.5,9.0,41.0,,24,32.0
2025-03-22,windchill,-10.583333333333334,-13.0,-7.0,,12,6.0
2025-03-23,dew_point,-9.241666666666667,-11.4,-4.7,,24,6.7
2025-03-23,pressure_sea,101.96125,101.06,102.36,,24,1.2999999999999972
2025-03-23,pressure_station,97.98625,97.13,98.36,,24,1.230000000000004
2025-03-23,relative_humidity,65.54166666666667,43.0,82.0,,24,39.0
2025-03-23,temperature,-3.4333333333333336,-7.8,1.8,,24,9.6
2025-03-23,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-23,wind_gust,34.285714285714285,30.0,42.0,,7,12.0
2025-03-23,wind_speed,13.875,0.0,30.0,,24,30.0
2025-03-23,windchill,-8.736842105263158,-12.0,-4.0,,19,8.0
2025-03-24,dew_point,-0.7541666666666665,-3.3,2.7,,24,6.0
2025-03-24,pressure_sea,100.37208333333335,100.08,100.82,,24,0.7399999999999949
2025-03-24,pressure_station,96.49708333333332,96.22,96.91,,24,0.6899999999999977
2025-03-24,relative_humidity,87.45833333333333,77.0,98.0,,24,21.0
2025-03-24,temperature,1.1541666666666668,-2.3,3.1,,24,5.4
2025-03-24,visibility,11587.5,2000.0,16100.0,,24,14100.0
